time,theta,tvc,combined
2.629999999999999893e+00,1.209373814316183904e-01,-7.282794225720948256e-02,1.937653236888278729e-01
2.640000000000000124e+00,1.237255051631988012e-01,-7.282955288336873112e-02,1.965550580465675323e-01
2.649999999999999911e+00,1.264780820670871886e-01,-7.280429441781136046e-02,1.992823764848985491e-01
2.660000000000000142e+00,1.292181904420069138e-01,-7.292499629180088094e-02,2.021431867338077948e-01
2.669999999999999929e+00,1.319494134117229212e-01,-7.324140087716035641e-02,2.051908142888832776e-01
2.680000000000000160e+00,1.346439226977740600e-01,-7.378325135252890299e-02,2.084271740503029768e-01
2.689999999999999947e+00,1.372370261695838312e-01,-7.448771132915635307e-02,2.117247374987401842e-01
2.700000000000000178e+00,1.396434506870323777e-01,-7.520133523525371344e-02,2.148447859222860912e-01
2.709999999999999964e+00,1.418438828038259270e-01,-7.564270822497023983e-02,2.174865910287961668e-01
2.720000000000000195e+00,1.438595645491797248e-01,-7.555676321071554125e-02,2.194163277598952799e-01
2.729999999999999982e+00,1.456425471340694888e-01,-7.493888098924940400e-02,2.205814281233188789e-01
2.740000000000000213e+00,1.472118713372424781e-01,-7.392626435732781165e-02,2.211381356945703036e-01
2.750000000000000000e+00,1.486667649743116937e-01,-7.254484690575767336e-02,2.212116118800693809e-01
2.760000000000000231e+00,1.500403115490296924e-01,-7.098760066777497213e-02,2.210279122168046784e-01
2.770000000000000018e+00,1.513257633362712073e-01,-6.961695106286908130e-02,2.209427143991402887e-01
2.780000000000000249e+00,1.524976313957670249e-01,-6.857660930291352430e-02,2.210742406986805353e-01
2.790000000000000036e+00,1.535071020535650754e-01,-6.781252913174028174e-02,2.213196311853053433e-01
2.800000000000000266e+00,1.543486076890230319e-01,-6.712236069981235287e-02,2.214709683888353986e-01
2.810000000000000053e+00,1.550234635596632882e-01,-6.628824811683045604e-02,2.213117116764937442e-01
2.819999999999999840e+00,1.555129157700833598e-01,-6.523427379168518503e-02,2.207471895617685309e-01
